模型,参数组,主题编号,主题名称,专利数量,专利占比,TOP5主题词,主题关键词,代表专利
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",0,区块 / 节点 / 交易,241,0.0241,区块、节点、交易、数据、合约,区块、节点、交易、数据、合约、加密、用户、网络、共识、验证,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；基于区块链技术的大数据共享并存证的方法
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",1,储能 / 电路 / 电源,424,0.0424,储能、电路、电源、电压、直流,储能、电路、电源、电压、直流、电网、功率、供电、开关、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",2,新能源汽车 / 电池 / 电机,269,0.0269,新能源汽车、电池、电机、涉及新能源、散热,新能源汽车、电池、电机、涉及新能源、散热、弹簧、限位、总成、底板、线束,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种适用于严寒酷暑环境的新能源厢式移动应急充电车
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",3,光伏 / 太阳能 / 支架,514,0.0514,光伏、太阳能、支架、电站、边框,光伏、太阳能、支架、电站、边框、电池、发电系统、电能、逆变器、角度,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",4,石墨 / 材料 / 纳米,270,0.027,石墨、材料、纳米、复合、分散,石墨、材料、纳米、复合、分散、性能、电极、发热、纤维、溶液,微米级多孔硫酸亚铁钠/碳复合正极材料及其制备的钠离子电池或钠电池；一种三维结构的纳米石墨烯及其制备方法、净化空气型无机涂料及其制备方法；一种镍掺杂二硫化钼/石墨烯三维复合材料的制备方法及应用
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",5,材料 / 工艺 / 原料,801,0.0801,材料、工艺、原料、采用、及其应用,材料、工艺、原料、采用、及其应用、蛋白质、活性、复合、合成、性能,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",6,电机 / 齿轮 / 螺纹,1339,0.1339,电机、齿轮、螺纹、底座、转轴,电机、齿轮、螺纹、底座、转轴、弹簧、限位、转动连接、输出、内壁,一种玻璃胶生产用高速分散装置；一种结构稳定的和面机；一种起重机安装维修安全平台
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",7,传感器 / 视觉 / 图像,465,0.0465,检测装置、传感器、检测设备、视觉、检测系统,检测装置、传感器、检测设备、视觉、检测系统、图像、数据、检测平台、进行检测、所述检测,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",8,支架 / 效率 / 底座,2803,0.2803,支架、效率、位于、底座、方向,支架、效率、位于、底座、方向、机架、上方、多个、限位、效果,一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",9,数据 / 联网 / 终端,1478,0.1478,数据、联网、终端、用户、实时,数据、联网、终端、用户、实时、服务器、模型、网络、接收、状态,基于人工智能的流体输送系统精确计量方法及计量装置；带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",10,存储介质 / 目标 / 电子设备,605,0.0605,存储介质、目标、电子设备、数据、模型,存储介质、目标、电子设备、数据、模型、人工智能、用户、申请、预设、特征,一种图书荐购方法、装置、设备及存储介质；模型训练方法、数据处理方法、装置、电子设备及介质；5G专网投诉的识别方法、装置、设备、系统及存储介质
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",11,环保 / 水资源 / 水箱,791,0.0791,节能、环保、水资源、水箱、水泵,节能、环保、水资源、水箱、水泵、水管、效果、清洗装置、箱体、喷头,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",0,底座 / 电机 / 限位,2364,0.2364,底座、电机、限位、支架、螺纹,底座、电机、限位、支架、螺纹、底板、弹簧、齿轮、滑块、位于,一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",1,数据 / 联网 / 终端,1518,0.1518,数据、联网、终端、实时、服务器,数据、联网、终端、实时、服务器、智慧、远程、管理系统、信号、状态,带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台；一种基于无人机信息终端的可视化数字孪生高端装备系统
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",2,光伏 / 储能 / 太阳能,844,0.0844,光伏、储能、太阳能、电站、电能,光伏、储能、太阳能、电站、电能、供电、功率、支架、逆变器、发电系统,一种胶膜平整机构及光伏组件生产线；电子厂房电源保障系统实施方法；水面光伏发电系统电气性能及环境场的监测装置
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",3,石墨 / 材料 / 纳米,1222,0.1222,石墨、材料、复合、纳米、原料,石墨、材料、复合、纳米、原料、工艺、性能、金属、采用、溶液,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",4,新能源 / 汽车 / 电池,452,0.0452,新能源、汽车、电池、散热、所述充电,新能源、汽车、电池、散热、所述充电、弹簧、电机、减震、壳体、总成,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种机器人换电装置
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",5,存储介质 / 目标 / 数据,1163,0.1163,存储介质、目标、数据、区块、模型,存储介质、目标、数据、区块、模型、电子设备、用户、人工智能、申请、节点,基于人工智能的流体输送系统精确计量方法及计量装置；基于区块链的充电权分配方法以及充电权交易方法；一种图书荐购方法、装置、设备及存储介质
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",6,图像 / 视觉 / 传感器,796,0.0796,检测装置、图像、视觉、传感器、机器,检测装置、图像、视觉、传感器、机器、检测系统、检测设备、信号、检测平台、所述检测,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",7,环保 / 箱体 / 水箱,1641,0.1641,节能、环保、箱体、水箱、水资源,节能、环保、箱体、水箱、水资源、水泵、效果、清洗装置、管道、壳体,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",0,底座 / 电机 / 限位,2232,0.2232,底座、电机、限位、支架、螺纹,底座、电机、限位、支架、螺纹、底板、弹簧、齿轮、滑块、位于,一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",1,数据 / 联网 / 终端,1402,0.1402,数据、联网、终端、实时、服务器,数据、联网、终端、实时、服务器、智慧、远程、管理系统、状态、传感器,带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台；一种基于无人机信息终端的可视化数字孪生高端装备系统
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 支架,553,0.0553,光伏、太阳能、支架、电站、发电系统,光伏、太阳能、支架、电站、发电系统、边框、蓄电池、逆变器、电池板、电能,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",3,石墨 / 材料 / 纳米,1232,0.1232,石墨、材料、复合、纳米、原料,石墨、材料、复合、纳米、原料、工艺、性能、金属、采用、溶液,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",4,新能源 / 汽车 / 电池,430,0.043,新能源、汽车、电池、散热、所述充电,新能源、汽车、电池、散热、所述充电、弹簧、减震、电机、零部件、总成,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种机器人换电装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",5,区块 / 节点 / 信息,404,0.0404,区块、节点、信息、交易、用户,区块、节点、信息、交易、用户、加密、合约、网络、业务、验证,基于区块链的充电权分配方法以及充电权交易方法；一种脐带血干细胞储存系统及其储存方法；一种基于车路协同的区块链拜占庭容错方法及系统
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",6,存储介质 / 目标 / 模型,883,0.0883,存储介质、目标、模型、电子设备、数据,存储介质、目标、模型、电子设备、数据、人工智能、特征、图像、用户、申请,基于人工智能的流体输送系统精确计量方法及计量装置；一种图书荐购方法、装置、设备及存储介质；模型训练方法、数据处理方法、装置、电子设备及介质
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",7,环保 / 箱体 / 水箱,1590,0.159,节能、环保、箱体、水箱、水资源,节能、环保、箱体、水箱、水资源、水泵、清洗装置、效果、管道、壳体,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",8,储能 / 电路 / 电源,691,0.0691,储能、电路、电源、电压、功率,储能、电路、电源、电压、功率、开关、直流、电网、供电、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",9,图像 / 视觉 / 传感器,583,0.0583,检测装置、图像、视觉、传感器、检测系统,检测装置、图像、视觉、传感器、检测系统、检测设备、检测平台、机器、所述检测、进行检测,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",0,底座 / 限位 / 支架,1559,0.1559,底座、限位、支架、弹簧、底板,底座、限位、支架、弹簧、底板、位于、螺纹、方向、滑动连接、滑块,一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床；一种制动主缸皮碗的自动装配装置
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",1,数据 / 模型 / 互联网,861,0.0861,数据、模型、实时、互联网、管理系统,数据、模型、实时、互联网、管理系统、建立、采集模块、服务、用户、算法,基于人工智能的流体输送系统精确计量方法及计量装置；一种促进围绝经期女性补钙的中药组方；带私有协议的数据处理取证的方法及装置
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 支架,531,0.0531,光伏、太阳能、支架、电站、发电系统,光伏、太阳能、支架、电站、发电系统、边框、蓄电池、逆变器、电池板、电能,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",3,石墨 / 材料 / 纳米,1160,0.116,石墨、材料、复合、纳米、原料,石墨、材料、复合、纳米、原料、工艺、性能、金属、溶液、采用,一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法；一种抑制烘焙食品多元危害物生成的方法
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",4,新能源 / 汽车 / 电池,407,0.0407,新能源、汽车、电池、散热、所述充电,新能源、汽车、电池、散热、所述充电、弹簧、减震、零部件、总成、线束,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种新能源电池生产线电芯侧面贴胶设备
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",5,存储介质 / 目标 / 电子设备,685,0.0685,存储介质、目标、电子设备、模型、人工智能,存储介质、目标、电子设备、模型、人工智能、信息、图像、申请、特征、用户,一种图书荐购方法、装置、设备及存储介质；模型训练方法、数据处理方法、装置、电子设备及介质；5G专网投诉的识别方法、装置、设备、系统及存储介质
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",6,图像 / 视觉 / 传感器,584,0.0584,检测装置、图像、视觉、传感器、检测系统,检测装置、图像、视觉、传感器、检测系统、检测设备、检测平台、机器、所述检测、进行检测,一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置；一种多功能食品检测装置
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",7,环保 / 水箱 / 水资源,1219,0.1219,节能、环保、水箱、水资源、箱体,节能、环保、水箱、水资源、箱体、水泵、清洗装置、效果、管道、水管,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",8,储能 / 电路 / 电源,564,0.0564,储能、电路、电源、电压、功率,储能、电路、电源、电压、功率、直流、电网、开关、供电、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",9,区块 / 节点 / 交易,338,0.0338,区块、节点、交易、信息、加密,区块、节点、交易、信息、加密、用户、合约、网络、验证、业务,基于区块链的充电权分配方法以及充电权交易方法；一种云会员信息管理系统、方法和存储平台；一种脐带血干细胞储存系统及其储存方法
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",10,联网 / 终端 / 信息,1017,0.1017,联网、终端、信息、远程、信号,联网、终端、信息、远程、信号、机器人、传感器、智慧、控制器、服务器,一种膜纸自动化印刷技术生产线结构；基于物联网的太阳能LED交通信号灯及其智能联动系统；一种房屋家具设计展示系统
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",11,电机 / 齿轮 / 转轴,1075,0.1075,电机、齿轮、转轴、输出、食品,电机、齿轮、转轴、输出、食品、原料、螺纹、壳体、箱体、啮合,一种玻璃胶生产用高速分散装置；一种结构稳定的和面机；一种刮刀防撞机构
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",0,电池 / 新能源,406,0.0406,电池、新能源、汽车充电,电池、新能源、汽车充电,域控制电池管理系统；一种具有节能保温功能的电解铝用电解槽；光伏电池生产线的自动送料放料系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",1,石墨 / 干细胞 / 材料,831,0.0831,石墨、干细胞、材料、纳米、蛋白,石墨、干细胞、材料、纳米、蛋白、凝胶、化合物,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种脐带血干细胞储存系统及其储存方法
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",2,联网 / 数据 / 无人机,832,0.0832,联网、数据、无人机、人工智能,联网、数据、无人机、人工智能,一种基于无人机信息终端的可视化数字孪生高端装备系统；一种房屋家具设计展示系统；一种基于智能仿真的牵引站运维管理系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",3,玻璃 / 包装袋 / 包装盒,577,0.0577,玻璃、包装袋、包装盒、口罩、电机,玻璃、包装袋、包装盒、口罩、电机、塑料,一种玻璃胶生产用高速分散装置；一种制动主缸皮碗的自动装配装置；一种带自发电的输液管气泡检测装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",4,废水 / 污水 / 除尘,689,0.0689,废水、污水、除尘、垃圾,废水、污水、除尘、垃圾,一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置；一种滤清器冲压片上料定位装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",5,数据 / 文本 / 存储介质,637,0.0637,数据、文本、存储介质、目标、模型,数据、文本、存储介质、目标、模型、图像、用户、人工智能、推荐,一种图书荐购方法、装置、设备及存储介质；一种用于研究者发起的临床研究全数据平台综合评价系统；模型训练方法、数据处理方法、装置、电子设备及介质
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",6,打印机 / 光固化 / 线材,200,0.02,打印机、印刷、光固化、线材、耗材,打印机、印刷、光固化、线材、耗材,一种膜纸自动化印刷技术生产线结构；一种刮刀防撞机构；一种3D导航定位牙套及制作方法
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",7,机器人 / 关节,159,0.0159,机器人、关节,机器人、关节,一种机器人换电装置；一种智能遛狗机器人；一种内镜手术器械输送装置、控制方法及机器人系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",8,混凝土 / 楼梯 / 钢梁,537,0.0537,混凝土、施工平台、楼梯、钢梁、水泥,混凝土、施工平台、楼梯、钢梁、水泥、钢筋、建筑、电梯,一种用于施工现场的便携式施工平台；极片烘烤夹具；一种起重机安装维修安全平台
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",9,区块 / 交易 / 加密,283,0.0283,区块、交易、加密、节点、数据,区块、交易、加密、节点、数据、合约、密钥、支付,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；异构可信计算/可信奖惩模型扩展
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",10,天线 / 基站 / 网络,185,0.0185,天线、基站、网络、信号、核心网,天线、基站、网络、信号、核心网、终端、频段、滤波器,一种信息通信5G转换设备；一种交直流屏自诊断方法；5G专网投诉的识别方法、装置、设备、系统及存储介质
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",11,蒸汽 / 石墨 / 换热器,434,0.0434,蒸汽、石墨、冷却装置、换热器、空调,蒸汽、石墨、冷却装置、换热器、空调、发热、热泵,一种陶瓷材料加工用热压烧结装置；MQ硅树脂生产用高效冷却装置；一种传热性能好的夹套盘管式上升管过热蒸汽发生器
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",12,食品 / 加工机 / 农药,401,0.0401,食品、加工机、农药、茶叶、饲料,食品、加工机、农药、茶叶、饲料、电机,一种多功能食品检测装置；一种偶氮颜料连续化合成微混合器及其连续化制备方法；一种结构稳定的和面机
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",13,模具 / 板材 / 限位,648,0.0648,模具、打磨、切割装置、板材、限位,模具、打磨、切割装置、板材、限位、冲压、服装,一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床；一种胶带生产用胶带粘度测试装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",14,数据 / 联网 / 业务,783,0.0783,数据、联网、业务、服务器、终端,数据、联网、业务、服务器、终端、存储介质、虚拟,带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台；一种基于智能匹配的漏洞威胁发现方法及系统
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",15,激光 / 传感器 / 城市轨道交通,588,0.0588,激光、检测装置、传感器、试验、城市轨道交通,激光、检测装置、传感器、试验、城市轨道交通、光学,水面光伏发电系统电气性能及环境场的监测装置；多接头线束电测试设备；一种望远镜镜筒智能制造装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",16,汽车 / 轮毂 / 新能源,768,0.0768,汽车、轮毂、新能源、电机、电缆,汽车、轮毂、新能源、电机、电缆、旋转平台,一种自动翻转脱模装置；一种用于吸塑机的自动捡片装置；一种适用于电解槽大修的滑移式安全护栏
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",17,储能 / 光伏 / 电路,399,0.0399,储能、光伏、电路、直流、电网,储能、光伏、电路、直流、电网、电压、功率,基于人工智能的流体输送系统精确计量方法及计量装置；电子厂房电源保障系统实施方法；电力电子变压器的两级直流母线协调控制方法、装置
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",18,光伏 / 太阳能 / 路灯,455,0.0455,光伏、太阳能、路灯、边框、屋面,光伏、太阳能、路灯、边框、屋面,一种胶膜平整机构及光伏组件生产线；基于物联网的太阳能LED交通信号灯及其智能联动系统；一种带有防尘接口结构的光伏并网逆变器
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",19,农业 / 喷药 / 农药,188,0.0188,农业、喷药、农药、施肥、育苗,农业、喷药、农药、施肥、育苗、农产品、病虫害,一种水电站高压输电线路驱鸟保护装置；一种基于物联网与云计算的鹅智能化精细饲喂系统及管控方法；一种基于物联网大数据的农业监控系统
Sentence-BERT + CETopic,"T=30, dim=5, method=tfidf_idfi",0,干细胞 / 蛋白 / 基因,334,0.0334,干细胞、蛋白、基因、及其应用、充质,干细胞、蛋白、基因、及其应用、充质、化合物,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种脐带血干细胞储存系统及其储存方法
Sentence-BERT + CETopic,"T=30, dim=5, method=tfidf_idfi",1,机架 / 模具 / 橡胶,555,0.0555,机架、冲压、打磨、送料、模具,机架、冲压、打磨、送料、模具、橡胶、电机,一种制动主缸皮碗的自动装配装置；一种自动翻转脱模装置；绝缘子R销复位装置
Sentence-BERT + CETopic,"T=30, dim=5, method=tfidf_idfi",2,数据 / 业务 / 存储介质,381,0.0381,数据、业务、存储介质、目标、日志,数据、业务、存储介质、目标、日志、代码、支付、用户、文件,一种图书荐购方法、装置、设备及存储介质；一种用于研究者发起的临床研究全数据平台综合评价系统；一种应用于智慧医疗大数据的网络安全分析方法及系统
