模型,参数组,主题编号,主题名称,专利数量,专利占比,TOP5主题词,主题关键词,代表专利
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",1,装置主体 / 所述主体 / 电机,254,0.0257,装置主体、所述主体、包括主体、电机、限位,装置主体、所述主体、包括主体、电机、限位、弹簧、主体包括、主体内部、底座、底端,一种起重机安装维修安全平台；一种基于物联网高压开关柜；一种脉冲点火器的装配机构
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 支架,468,0.0474,光伏、太阳能、支架、电站、边框,光伏、太阳能、支架、电站、边框、电池、发电系统、逆变器、电能、角度,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",3,电机 / 螺纹 / 箱体,876,0.0887,电机、螺纹、箱体、齿轮、底座,电机、螺纹、箱体、齿轮、底座、转轴、滑块、转动连接、滑槽、输出,一种望远镜镜筒智能制造装置；一种智能制造木料处理平台；一种5G智慧城市用LED路灯
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",4,材料 / 工艺 / 原料,706,0.0715,材料、工艺、原料、及其应用、复合,材料、工艺、原料、及其应用、复合、采用、蛋白质、活性、纳米、重量,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",5,打印机 / 材料 / 粉末,178,0.018,打印机、材料、粉末、光固化、喷头,打印机、材料、粉末、光固化、喷头、树脂、制造、三维、金属、采用,一种刮刀防撞机构；一种3D导航定位牙套及制作方法；一种远程数字3D打印装置
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",6,存储介质 / 目标 / 电子设备,382,0.0387,存储介质、目标、电子设备、模型、人工智能,存储介质、目标、电子设备、模型、人工智能、数据、图像、特征、文本、预设,模型训练方法、数据处理方法、装置、电子设备及介质；一种基于人工智能的空气颗粒物分析预警方法和装置；装载信息处理方法、装置、电子设备及存储介质
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",7,水资源 / 水箱 / 水泵,480,0.0486,水资源、水箱、水泵、清洗装置、节能,水资源、水箱、水泵、清洗装置、节能、环保、水管、喷头、废水、浪费,一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置；一种具有节能保温功能的电解铝用电解槽
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",8,储能 / 电路 / 电源,379,0.0384,储能、电路、电源、电压、直流,储能、电路、电源、电压、直流、功率、电网、供电、开关、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",9,信息 / 用户 / 存储介质,415,0.042,信息、用户、存储介质、目标、业务,信息、用户、存储介质、目标、业务、接收、服务、终端、发送、申请,一种云会员信息管理系统、方法和存储平台；一种图书荐购方法、装置、设备及存储介质；一种房屋家具设计展示系统
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",10,新能源汽车 / 电池 / 涉及新能源,241,0.0244,新能源汽车、电池、涉及新能源、电机、散热,新能源汽车、电池、涉及新能源、电机、散热、弹簧、限位、底板、线束、缓冲,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种适用于严寒酷暑环境的新能源厢式移动应急充电车
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",11,区块 / 节点 / 交易,218,0.0221,区块、节点、交易、数据、合约,区块、节点、交易、数据、合约、加密、网络、共识、用户、验证,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；基于区块链技术的大数据共享并存证的方法
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",12,机器人 / 视觉 / 关节,170,0.0172,机器人、运动、视觉、关节、底座,机器人、运动、视觉、关节、底座、连杆、自动化、工件、路径、自由度,一种机器人换电装置；一种智能遛狗机器人；一种内镜手术器械输送装置、控制方法及机器人系统
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",13,联网 / 数据 / 终端,412,0.0417,联网、数据、终端、网关、智慧,联网、数据、终端、网关、智慧、传感器、远程、服务器、控制器、无线,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种基于智能匹配的漏洞威胁发现方法及系统；一种基于物联网与云计算的鹅智能化精细饲喂系统及管控方法
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",14,机架 / 生产线 / 效率,412,0.0417,机架、生产线、输送装置、送料、效率,机架、生产线、输送装置、送料、效率、自动化、输送机构、输送带、传送、位于,一种自动翻转脱模装置；一种用于吸塑机的自动捡片装置；多段锯骨机
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",15,数据 / 模型 / 管理系统,744,0.0753,数据、模型、实时、管理系统、服务器,数据、模型、实时、管理系统、服务器、互联网、终端、建立、智慧、网络,基于人工智能的流体输送系统精确计量方法及计量装置；带私有协议的数据处理取证的方法及装置；一种基于无人机信息终端的可视化数字孪生高端装备系统
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",16,石墨 / 材料 / 纳米,253,0.0256,石墨、材料、纳米、复合、分散,石墨、材料、纳米、复合、分散、性能、电极、发热、溶液、均匀,一种石墨烯面料纺织用经纱张力调节装置；一种三维结构的纳米石墨烯及其制备方法、净化空气型无机涂料及其制备方法；一种镍掺杂二硫化钼/石墨烯三维复合材料的制备方法及应用
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",17,视觉 / 图像 / 机器,351,0.0355,检测装置、检测设备、视觉、检测系统、检测平台,检测装置、检测设备、视觉、检测系统、检测平台、所述检测、图像、进行检测、机器、传感器,一种带自发电的输液管气泡检测装置；一种多功能食品检测装置；一种果蔬新烟碱类农药残留多通道试纸检测装置
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",18,底座 / 支架 / 限位,2074,0.2099,底座、支架、限位、位于、效率,底座、支架、限位、位于、效率、方向、模具、上方、效果、配合,一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",19,电机 / 原料 / 转轴,187,0.0189,电机、所述搅拌、原料、搅拌装置、转轴,电机、所述搅拌、原料、搅拌装置、转轴、进行搅拌、均匀、罐体、齿轮、农药,一种玻璃胶生产用高速分散装置；一种结构稳定的和面机；智能食材搅拌设备
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",0,水箱 / 水资源 / 水泵,329,0.0333,水箱、水资源、水泵、水管、清洗装置,水箱、水资源、水泵、水管、清洗装置、喷头、过滤网、污水、除尘、冲洗,一种基于开放空间大气污染治理装置；一种生物实验用试管的初步清洗装置；一种伞形除尘罩装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",1,机架 / 生产线 / 效率,363,0.0367,机架、输送装置、生产线、送料、效率,机架、输送装置、生产线、送料、效率、自动化、输送机构、工位、输送带、位于,一种自动翻转脱模装置；一种用于吸塑机的自动捡片装置；光伏电池生产线的自动送料放料系统
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",2,测试平台 / 测试装置 / 测试系统,126,0.0128,测试平台、测试装置、测试系统、测试设备、所述测试,测试平台、测试装置、测试系统、测试设备、所述测试、模拟、接口、测试结果、试验、仿真,一种胶带生产用胶带粘度测试装置；多接头线束电测试设备；一种灵活检测汽车滤清器性能测试装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",3,存储介质 / 电子设备 / 目标,247,0.025,存储介质、电子设备、目标、信息、预设,存储介质、电子设备、目标、信息、预设、申请、人工智能、对象、区块、至少,装载信息处理方法、装置、电子设备及存储介质；业务处理方法、设备以及存储介质；人机客服的切换方法、装置、设备及存储介质
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",4,限位 / 支架 / 弹簧,1739,0.176,限位、支架、弹簧、位于、效果,限位、支架、弹簧、位于、效果、方向、模具、螺纹、效率、配合,一种膜纸自动化印刷技术生产线结构；一种机械制造用冲压车床；一种制动主缸皮碗的自动装配装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",5,新能源汽车 / 电池 / 电机,242,0.0245,新能源汽车、电池、电机、涉及新能源、散热,新能源汽车、电池、电机、涉及新能源、散热、弹簧、限位、底板、线束、减震,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种适用于严寒酷暑环境的新能源厢式移动应急充电车
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",6,联网 / 终端 / 数据,381,0.0386,联网、终端、数据、远程、智慧,联网、终端、数据、远程、智慧、网关、传感器、控制器、无线、状态,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种基于智能匹配的漏洞威胁发现方法及系统；一种基于物联网与云计算的鹅智能化精细饲喂系统及管控方法
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",7,用户 / 数据 / 人工智能,164,0.0166,用户、数据、人工智能、目标、推荐,用户、数据、人工智能、目标、推荐、存储介质、模型、特征、文本、内容,基于人工智能的流体输送系统精确计量方法及计量装置；异构可信计算/可信奖惩模型扩展；5G专网投诉的识别方法、装置、设备、系统及存储介质
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",8,光伏 / 太阳能 / 支架,323,0.0327,光伏、太阳能、支架、电池、边框,光伏、太阳能、支架、电池、边框、电站、屋面、逆变器、玻璃、角度,一种胶膜平整机构及光伏组件生产线；一种带有防尘接口结构的光伏并网逆变器；一种适合风沙地域防风固沙的光伏防风障
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",9,底板 / 侧板 / 顶板,193,0.0195,底板、侧板、顶板、支架、电机,底板、侧板、顶板、支架、电机、上端、限位、螺纹、转动连接、支撑杆,一种用于生产带孔木底托的工装模具；一种起重机安装维修安全平台；一种石墨烯面料纺织用经纱张力调节装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",10,食品 / 电机 / 加工机,172,0.0174,食品、电机、加工机、原料、营养,食品、电机、加工机、原料、营养、口感、箱体、杀菌、传送带、机体,一种抑制烘焙食品多元危害物生成的方法；一种结构稳定的和面机；智能食材搅拌设备
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",11,储能 / 电网 / 功率,291,0.0295,储能、电网、功率、电源、直流,储能、电网、功率、电源、直流、负荷、供电、调度、电能、电压,绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置；一种农村台区电压及线损问题的治理方法
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",12,石墨 / 材料 / 纳米,253,0.0256,石墨、材料、纳米、复合、性能,石墨、材料、纳米、复合、性能、分散、电极、发热、溶液、纤维,微米级多孔硫酸亚铁钠/碳复合正极材料及其制备的钠离子电池或钠电池；一种三维结构的纳米石墨烯及其制备方法、净化空气型无机涂料及其制备方法；一种镍掺杂二硫化钼/石墨烯三维复合材料的制备方法及应用
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",13,机器人 / 视觉 / 关节,171,0.0173,机器人、运动、视觉、关节、底座,机器人、运动、视觉、关节、底座、自动化、连杆、工件、自由度、行走,一种机器人换电装置；一种智能遛狗机器人；一种内镜手术器械输送装置、控制方法及机器人系统
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",14,区块 / 节点 / 交易,198,0.02,区块、节点、交易、数据、合约,区块、节点、交易、数据、合约、加密、网络、共识、用户、验证,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；基于区块链技术的大数据共享并存证的方法
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",15,电机 / 齿轮 / 转轴,421,0.0426,电机、齿轮、转轴、输出、原料,电机、齿轮、转轴、输出、原料、箱体、所述搅拌、壳体、啮合、螺纹,一种玻璃胶生产用高速分散装置；一种望远镜镜筒智能制造装置；一种5G智慧城市用LED路灯
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",16,切割机 / 限位 / 电机,128,0.013,切割装置、切割机、切割平台、所述切割、进行切割,切割装置、切割机、切割平台、所述切割、进行切割、切割设备、限位、电机、气缸、切割刀,一种复合网版的制作方法；多段锯骨机；一种具有调节功能的激光切割机用切割平台
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",17,底座 / 电机 / 支架,382,0.0387,底座、电机、支架、限位、上端,底座、电机、支架、限位、上端、配合、螺纹、位于、效率、上方,一种废水循环利用的自动洗车装置；一种脐带血干细胞储存系统及其储存方法；极片烘烤夹具
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",18,数据 / 模型 / 信号,766,0.0775,数据、模型、建立、信号、实时,数据、模型、建立、信号、实时、终端、车辆、网络、互联网、算法,带私有协议的数据处理取证的方法及装置；电子厂房电源保障系统实施方法；一种基于智能仿真的牵引站运维管理系统
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",19,用户 / 业务 / 信息,232,0.0235,用户、业务、信息、存储介质、接收,用户、业务、信息、存储介质、接收、发送、终端、服务、认证、访问,一种云会员信息管理系统、方法和存储平台；一种图书荐购方法、装置、设备及存储介质；一种房屋家具设计展示系统
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",20,打印机 / 材料 / 粉末,182,0.0184,打印机、材料、粉末、光固化、树脂,打印机、材料、粉末、光固化、树脂、喷头、制造、三维、采用、金属,一种刮刀防撞机构；一种3D导航定位牙套及制作方法；一种远程数字3D打印装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",21,混凝土 / 作业 / 装配式,164,0.0166,施工平台、混凝土、作业、装配式、操作平台,施工平台、混凝土、作业、装配式、操作平台、施工效率、悬挑、桥梁、钢梁、轨道,一种用于施工现场的便携式施工平台；电光长余辉蓄光材料路面和图案及施工方法；一种装配式钢筋混凝土梁结构及制作方法
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",22,环保 / 太阳能 / 效果,230,0.0233,节能、环保、太阳能、效果、箱体,节能、环保、太阳能、效果、箱体、功能、建筑、壳体、上端、底座,一种水电站高压输电线路驱鸟保护装置；一种具有节能保温功能的电解铝用电解槽；一种具备智能声控电动汽车充电桩
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",23,数据 / 联网 / 服务器,282,0.0285,数据、采集模块、实时、联网、服务器,数据、采集模块、实时、联网、服务器、传感器、终端、采集装置、采集系统、管理系统,一种基于无人机信息终端的可视化数字孪生高端装备系统；一种工业互联网平台应用评价方法及其评价系统；基于分布式架构的5G视频传输系统
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",24,电路 / 电压 / 电源,114,0.0115,电路、电压、电源、开关、储能,电路、电压、电源、开关、储能、电容、供电、输出、直流、电阻,一种用于WIFI 5G频段的截频可变式高通滤波器；开关电源过零点检测电路的自动校准装置及校准方法；一种列车及基于新能源电池的供电电路
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",25,材料 / 工艺 / 原料,662,0.067,材料、工艺、原料、及其应用、采用,材料、工艺、原料、及其应用、采用、蛋白质、活性、合成、生物、干细胞,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；间充质干细胞培养用无血清培养基及用途
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",26,模型 / 图像 / 数据,220,0.0223,模型、图像、数据、人工智能、特征,模型、图像、数据、人工智能、特征、学习、存储介质、目标、深度、神经网络,模型训练方法、数据处理方法、装置、电子设备及介质；一种基于人工智能的空气颗粒物分析预警方法和装置；一种光伏组件缺陷检测模型的可视化迭代生产系统
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",27,管道 / 蒸汽 / 温度,416,0.0421,管道、蒸汽、温度、出口、气体,管道、蒸汽、温度、出口、气体、风机、通道、换热器、效果、冷却装置,一种偶氮颜料连续化合成微混合器及其连续化制备方法；一种陶瓷材料加工用热压烧结装置；MQ硅树脂生产用高效冷却装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",28,太阳能 / 储能 / 电能,149,0.0151,光伏发电、太阳能、发电系统、发电装置、储能,光伏发电、太阳能、发电系统、发电装置、储能、电能、风力、蓄电池、发电组件、供电,水面光伏发电系统电气性能及环境场的监测装置；一种基于帕尔贴效应的海岛风光互补水电联产装置；一种具有散热功能的新能源光伏发电装置
TF-IDF + KMeans,"K=30, max_features=5000, max_df=0.85",29,视觉 / 传感器 / 机器,341,0.0345,检测装置、检测设备、视觉、检测平台、传感器,检测装置、检测设备、视觉、检测平台、传感器、检测系统、所述检测、进行检测、机器、检测技术,一种带自发电的输液管气泡检测装置；一种多功能食品检测装置；一种果蔬新烟碱类农药残留多通道试纸检测装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",0,底座 / 电机 / 限位,2172,0.2198,底座、电机、限位、支架、螺纹,底座、电机、限位、支架、螺纹、底板、弹簧、滑块、齿轮、位于,一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具；一种机械制造用冲压车床
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",1,数据 / 联网 / 终端,1374,0.1391,数据、联网、终端、实时、服务器,数据、联网、终端、实时、服务器、智慧、管理系统、远程、传感器、状态,带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台；一种基于无人机信息终端的可视化数字孪生高端装备系统
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 支架,546,0.0553,光伏、太阳能、支架、电站、发电系统,光伏、太阳能、支架、电站、发电系统、边框、逆变器、蓄电池、电池板、屋面,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",3,石墨 / 材料 / 纳米,1230,0.1245,石墨、材料、复合、纳米、原料,石墨、材料、复合、纳米、原料、工艺、性能、金属、采用、溶液,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",4,新能源 / 汽车 / 电池,414,0.0419,新能源、汽车、电池、散热、所述充电,新能源、汽车、电池、散热、所述充电、弹簧、减震、壳体、缓冲、线束,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种机器人换电装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",5,区块 / 节点 / 信息,398,0.0403,区块、节点、信息、交易、加密,区块、节点、信息、交易、加密、用户、合约、网络、业务、验证,基于区块链的充电权分配方法以及充电权交易方法；一种脐带血干细胞储存系统及其储存方法；一种基于车路协同的区块链拜占庭容错方法及系统
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",6,存储介质 / 目标 / 模型,864,0.0874,存储介质、目标、模型、电子设备、数据,存储介质、目标、模型、电子设备、数据、人工智能、特征、图像、用户、申请,基于人工智能的流体输送系统精确计量方法及计量装置；一种图书荐购方法、装置、设备及存储介质；模型训练方法、数据处理方法、装置、电子设备及介质
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",7,环保 / 箱体 / 水箱,1619,0.1638,节能、环保、箱体、水箱、水资源,节能、环保、箱体、水箱、水资源、水泵、效果、管道、壳体、电机,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",8,储能 / 电路 / 电源,684,0.0692,储能、电路、电源、电压、功率,储能、电路、电源、电压、功率、开关、直流、电网、供电、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",9,图像 / 视觉 / 传感器,580,0.0587,检测装置、图像、视觉、传感器、检测设备,检测装置、图像、视觉、传感器、检测设备、检测系统、机器、检测平台、所述检测、进行检测,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",0,限位 / 弹簧 / 螺纹,295,0.0299,限位、弹簧、螺纹、滑块、滑槽,限位、弹簧、螺纹、滑块、滑槽、底板、滑动连接、内壁、凹槽、箱体,一种机械制造用冲压车床；一种具有防护功能的兽医注射固定装置；一种装配式检查井用管路连接结构
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",1,区块 / 节点 / 交易,301,0.0305,区块、节点、交易、加密、信息,区块、节点、交易、加密、信息、合约、网络、验证、共识、认证,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；基于区块链技术的大数据共享并存证的方法
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 电站,380,0.0385,光伏、太阳能、电站、发电系统、边框,光伏、太阳能、电站、发电系统、边框、逆变器、蓄电池、电池板、屋面、电能,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",3,石墨 / 材料 / 纳米,400,0.0405,石墨、材料、纳米、复合、性能,石墨、材料、纳米、复合、性能、分散、电极、金属、溶液、纤维,一种复合网版的制作方法；一种石墨烯面料纺织用经纱张力调节装置；一种三维结构的纳米石墨烯及其制备方法、净化空气型无机涂料及其制备方法
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",4,汽车 / 新能源 / 动力电池,344,0.0348,汽车、新能源、动力电池、所述充电、散热,汽车、新能源、动力电池、所述充电、散热、零部件、线束、行驶、电机、总成,一种可用于新能源汽车的润滑脂组合物及其制备方法；一种适用于严寒酷暑环境的新能源厢式移动应急充电车；一种新能源汽车的热交换模块
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",5,存储介质 / 目标 / 电子设备,516,0.0522,存储介质、目标、电子设备、信息、用户,存储介质、目标、电子设备、信息、用户、申请、预设、人工智能、计算机设备、实施,一种云会员信息管理系统、方法和存储平台；一种图书荐购方法、装置、设备及存储介质；5G专网投诉的识别方法、装置、设备、系统及存储介质
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",6,模型 / 图像 / 人工智能,379,0.0384,模型、图像、人工智能、学习、特征,模型、图像、人工智能、学习、特征、算法、样本、构建、深度、参数,基于人工智能的流体输送系统精确计量方法及计量装置；异构可信计算/可信奖惩模型扩展；模型训练方法、数据处理方法、装置、电子设备及介质
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",7,环保 / 水箱 / 水资源,842,0.0852,节能、环保、水箱、水资源、水泵,节能、环保、水箱、水资源、水泵、箱体、管道、清洗装置、水管、效果,一种水电站高压输电线路驱鸟保护装置；一种基于开放空间大气污染治理装置；MQ硅树脂生产用高效冷却装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",8,储能 / 电路 / 电源,435,0.044,储能、电路、电源、电压、功率,储能、电路、电源、电压、功率、开关、直流、电网、供电、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",9,传感器 / 图像 / 视觉,449,0.0454,检测装置、传感器、图像、检测设备、检测系统,检测装置、传感器、图像、检测设备、检测系统、视觉、检测平台、所述检测、进行检测、检测结果,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种胶带生产用胶带粘度测试装置；一种带自发电的输液管气泡检测装置
TF-IDF + NMF,"T=20, max_features=5000, max_df=0.85",10,联网 / 终端 / 远程,646,0.0654,联网、终端、远程、服务器、信号,联网、终端、远程、服务器、信号、网络、信息、智慧、网关、传感器,一种房屋家具设计展示系统；一种基于智能匹配的漏洞威胁发现方法及系统；一种用于超宽带系统中的陶瓷芯片天线
